"datetime","lake","variable","unit","observation","depth","depth_id"
2024-05-16 05:00:00,"peter","do","degC",9.87839090909091,3,NA
2024-05-16 05:00:00,"peter","do","degC",8.16556363636364,3.5,NA
2024-05-16 05:00:00,"peter","do","degC",6.91377272727273,4,NA
2024-05-16 05:00:00,"peter","do","degC",5.946,4.5,NA
2024-05-16 05:00:00,"peter","do","degC",5.31339090909091,5,NA
2024-05-16 05:00:00,"peter","do","degC",4.73504545454546,6,NA
2024-05-16 05:00:00,"peter","do","degC",17.4139166666667,0.5,NA
2024-05-16 05:00:00,"peter","do","degC",16.90925,1,NA
2024-05-16 05:00:00,"peter","do","degC",16.167,1.5,NA
2024-05-16 05:00:00,"peter","do","degC",14.8381666666667,2,NA
2024-05-16 05:00:00,"peter","do","degC",12.10375,2.5,NA
2024-05-16 05:00:00,"peter","do","degC",10.0231083333333,3,NA
2024-05-16 05:00:00,"peter","do","degC",8.11915,3.5,NA
2024-05-16 05:00:00,"peter","do","degC",6.74376666666667,4,NA
2024-05-16 05:00:00,"peter","do","degC",5.85086666666667,4.5,NA
2024-05-16 05:00:00,"peter","do","degC",5.19556666666667,5,NA
2024-05-16 05:00:00,"peter","do","degC",4.63966666666667,6,NA
2024-05-16 05:00:00,"peter","do","degC",17.2478333333333,0.5,NA
2024-05-16 05:00:00,"peter","do","degC",16.83625,1,NA
2024-05-16 05:00:00,"peter","do","degC",16.2095,1.5,NA
2024-05-16 05:00:00,"peter","do","degC",14.6971666666667,2,NA
2024-05-16 05:00:00,"peter","do","degC",12.2636666666667,2.5,NA
2024-05-16 05:00:00,"peter","do","degC",9.97905,3,NA
2024-05-16 05:00:00,"peter","do","degC",8.06491666666667,3.5,NA
2024-05-16 05:00:00,"peter","do","degC",6.71720833333333,4,NA
2024-05-16 05:00:00,"peter","do","degC",5.90983333333333,4.5,NA
2024-05-16 05:00:00,"peter","do","degC",5.33954166666667,5,NA
2024-05-16 05:00:00,"peter","do","degC",4.71359166666667,6,NA
2024-05-16 05:00:00,"peter","do","degC",17.06575,0.5,NA
2024-05-16 05:00:00,"peter","do","degC",16.9945833333333,1,NA
2024-05-16 05:00:00,"peter","do","degC",16.2165833333333,1.5,NA
2024-05-16 05:00:00,"peter","do","degC",14.7619166666667,2,NA
2024-05-16 05:00:00,"peter","do","degC",12.1143333333333,2.5,NA
2024-05-16 05:00:00,"peter","do","degC",9.762675,3,NA
2024-05-16 05:00:00,"peter","do","degC",8.24698333333333,3.5,NA
2024-05-16 05:00:00,"peter","do","degC",6.84796666666667,4,NA
2024-05-16 05:00:00,"peter","do","degC",5.96475833333333,4.5,NA
2024-05-16 05:00:00,"peter","do","degC",5.39848333333333,5,NA
2024-05-16 05:00:00,"peter","do","degC",4.7471,6,NA
2024-05-16 05:00:00,"peter","do","degC",16.9235833333333,0.5,NA
2024-05-16 05:00:00,"peter","do","degC",16.905,1,NA
2024-05-16 05:00:00,"peter","do","degC",16.1845833333333,1.5,NA
2024-05-16 05:00:00,"peter","do","degC",14.6815833333333,2,NA
2024-05-16 05:00:00,"peter","do","degC",12.1784166666667,2.5,NA
2024-05-16 05:00:00,"peter","do","degC",9.98651666666667,3,NA
2024-05-16 05:00:00,"peter","do","degC",8.20584166666667,3.5,NA
2024-05-16 05:00:00,"peter","do","degC",6.78838333333333,4,NA
2024-05-16 05:00:00,"peter","do","degC",5.880925,4.5,NA
2024-05-16 05:00:00,"peter","do","degC",5.26595833333333,5,NA
2024-05-16 05:00:00,"peter","do","degC",4.625325,6,NA
