variable,n,r2,rmse,run,overall_r2,overall_rmse
do,708.0,0.8489174338693879,1.5961634122967832,28,-0.07678037521875887,1.4553405665864936
doc,30.0,-2.0031728803509226,1.054555596002121,28,-0.07678037521875887,1.4553405665864936
wtemp,19824.0,0.923914320825258,1.7153026914605758,28,-0.07678037521875887,1.4553405665864936
do,708.0,0.8121687274551777,1.779730018256963,29,0.29902255499215125,1.444139327340389
doc,30.0,-0.8379105565517162,0.8249763526847214,29,0.29902255499215125,1.444139327340389
wtemp,19824.0,0.9228094940729923,1.7277116110794826,29,0.29902255499215125,1.444139327340389
do,708.0,0.8567974976977019,1.5539801917576548,30,-0.31003037035398473,1.4797001808840105
doc,30.0,-2.7110199259500636,1.1722654276685773,30,-0.31003037035398473,1.4797001808840105
wtemp,19824.0,0.9241313171904074,1.7128549232257995,30,-0.31003037035398473,1.4797001808840105
do,708.0,0.85794053383907,1.547765865160396,31,-0.45435548154388367,1.5220678784274793
doc,30.0,-3.139035357063549,1.2380234816139144,31,-0.45435548154388367,1.5220678784274793
wtemp,19824.0,0.9180283785928282,1.7804142885081276,31,-0.45435548154388367,1.5220678784274793
do,708.0,0.857359448718894,1.5509281530967225,32,-0.3748510166440718,1.5221149658635031
doc,30.0,-2.8968034830144327,1.2012504579724683,32,-0.3748510166440718,1.5221149658635031
wtemp,19824.0,0.9148909843633231,1.814166286521319,32,-0.3748510166440718,1.5221149658635031
do,708.0,0.8520072109842342,1.5797575972816096,33,-0.44441639060017507,1.5038821361605326
doc,30.0,-3.1106881100264845,1.2337767369484955,33,-0.44441639060017507,1.5038821361605326
wtemp,19824.0,0.9254317272417252,1.698112074251493,33,-0.44441639060017507,1.5038821361605326
do,708.0,0.8587495324066976,1.5433524734855488,34,-0.22963843307623436,1.495696062251043
doc,30.0,-2.4628198257080514,1.1323854005965606,34,-0.22963843307623436,1.495696062251043
wtemp,19824.0,0.9151549940726507,1.8113503126710184,34,-0.22963843307623436,1.495696062251043
do,708.0,0.8412897531844321,1.6359599170479495,35,0.018916511201189423,1.4722769256316788
doc,30.0,-1.702562002525967,1.0003849444207535,35,0.018916511201189423,1.4722769256316788
wtemp,19824.0,0.9180217829451031,1.7804859154263337,35,0.018916511201189423,1.4722769256316788
do,708.0,0.8470439592073087,1.6060294028553777,36,0.09316082316963363,1.4397749602292838
doc,30.0,-1.4880555885286264,0.9598632261112512,36,0.09316082316963363,1.4397749602292838
wtemp,19824.0,0.9204940988302186,1.7534322517212229,36,0.09316082316963363,1.4397749602292838
do,708.0,0.8326265265914565,1.6800162778484358,37,0.17839123678932955,1.4674172184651477
doc,30.0,-1.2120613348566605,0.9050610940189185,37,0.17839123678932955,1.4674172184651477
wtemp,19824.0,0.9146085186331926,1.8171742835280889,37,0.17839123678932955,1.4674172184651477
do,708.0,0.8093715649460995,1.792932817415388,38,0.35069505703994563,1.455167772863881
doc,30.0,-0.6748891069070491,0.7875394951361315,38,0.35069505703994563,1.455167772863881
wtemp,19824.0,0.9176027130807864,1.7850310060401238,38,0.35069505703994563,1.455167772863881
do,708.0,0.8500601882912169,1.5901154443726178,39,0.04537136377610762,1.4295448913863504
doc,30.0,-1.6383216720220535,0.9884237822826338,39,0.04537136377610762,1.4295448913863504
wtemp,19824.0,0.9243755750591595,1.7100954475037995,39,0.04537136377610762,1.4295448913863504
do,708.0,0.8500533707422101,1.5901515941003654,40,-0.029594992861556868,1.4507372862177077
doc,30.0,-1.8611984649771318,1.0293268596400693,40,-0.029594992861556868,1.4507372862177077
wtemp,19824.0,0.922360115650251,1.7327334049126886,40,-0.029594992861556868,1.4507372862177077
do,708.0,0.8549013328197874,1.5642345957115087,41,-0.5501994173724883,1.5469320420581028
doc,30.0,-3.422001160696958,1.2796427486344049,41,-0.5501994173724883,1.5469320420581028
wtemp,19824.0,0.9165015757597053,1.7969187818283943,41,-0.5501994173724883,1.5469320420581028
do,708.0,0.8359381777725854,1.6633128423111445,42,0.08621474580111883,1.4335337755015658
doc,30.0,-1.5048110746620602,0.9630898398304635,42,0.08621474580111883,1.4335337755015658
wtemp,19824.0,0.9275171342928313,1.6741986443630896,42,0.08621474580111883,1.4335337755015658
do,708.0,0.8602824987199272,1.5349547610518508,43,-0.45628719654626443,1.5274865299224138
doc,30.0,-3.1445512367944604,1.2388481321013451,43,-0.45628719654626443,1.5274865299224138
wtemp,19824.0,0.9154071484357399,1.8086566966140454,43,-0.45628719654626443,1.5274865299224138
do,708.0,0.8158900828654609,1.7620116132899293,44,0.19814145897047505,1.4631767645217426
doc,30.0,-1.1434790892405857,0.8909204739482796,44,0.19814145897047505,1.4631767645217426
wtemp,19824.0,0.9220133832865499,1.7365982063270187,44,0.19814145897047505,1.4631767645217426
do,708.0,0.8460495503905778,1.6112415621126854,45,-0.586703181309796,1.5634078038454688
doc,30.0,-3.5237928606221374,1.294287239087023,45,-0.586703181309796,1.5634078038454688
wtemp,19824.0,0.9176337663021715,1.784694610336698,45,-0.586703181309796,1.5634078038454688
